title,location,company,salary
"Senior Data Science Manager, Branch Analytics",Chicago,BMO Financial Group,141500.0
Data Science Consultant (Resources),Chicago,Accenture,135000.0
Database Architect Consultant,Rosemont,"IMO - Intelligent Medical Objects, Inc.",140000.0
Post Doctoral Research Fellow - NGS & Molecular Genomics,Chicago,Rush University Medical Center,52500.0
Municipal Water - Electrical Engineer,Chicago,Burns & McDonnell,102000.0
Data Scientist,Chicago,My WindowWorks,85000.0
"Data Scientist, Applied Machine Learning",Chicago,Tempus,112500.0
Salesforce Data Specialist,Chicago,My WindowWorks,85000.0
Data Analyst / Scientist,Chicago,Centric Digital,104000.0
"Applied Data Scientist, Political",Chicago,Civis Analytics,125000.0
Data Science - Associate,Chicago,Credit Ninja,157500.0
Sales Research Analyst,Chicago,"Harris & Harris, Ltd.",40000.0
Front End Developer Angular,Chicago,Arturo,95000.0
Tech Lead | Engineering Manager,Chicago,Civis Analytics,129000.0
DevOps Engineer,Chicago,Lumere,113000.0
Senior Front End Engineer,Chicago,"PhysIQ, Inc.",115000.0
Senior Devops Engineer,Chicago,Tempus,114000.0
Senior DevOps Engineer,Chicago,Civis Analytics,126000.0
Senior Scala Developer – Cloud Computing,Chicago,Enterprise Peak,140000.0
Senior Software Engineer - Platform Team,Chicago,Fooda,123500.0
Data Scientist,Miami,Brightstar Corp.,109000.0
BIOLOGICAL SCIENTIST IV - 64002499,Miami,The State of Florida,43507.0
"Data Scientist, Revenue Management",Miami,Royal Caribbean Cruises Ltd.,92000.0
AI/ML Data Scientist,Miami,World Fuel,112500.0
Data Scientist,Miami,Brightstar,111500.0
Data Scientist,Miami,Brightstar Wireless,111000.0
"Manager, Data Scientist",Miami,Royal Caribbean Cruises Ltd.,76500.0
"Scientist, Sr. Data Augmentation",Miami,Royal Caribbean Cruises Ltd.,111500.0
Financial Analyst II,Miami,Beckman Coulter - Diagnostics,77000.0
Digital Experience Specialist (Front End Web Developer),Miami,Wunderman,74000.0
"Senior Manager, Data Science & Analytics",Fort Lauderdale,"Magic Leap, Inc.",130000.0
RSMAS - Software Engineer - CIMAS,Miami,University of Miami,71000.0
Market Research Analyst (Portuguese Speaker),Miami,"Brand Institute, inc",30000.0
MARKET RESEARCH ANALYST,Miami Beach,IMW Internet Marketing WorldWide,37086.0
Front End Software Developer for GIS/Risk Assessment Modelin...,Plantation,"Coastal Risk Consulting, LLC",64500.0
Data Scientist,Cheswick,Vitro,107500.0
Senior Statistician,Pittsburgh,The University of Pittsburgh,45942.0
Research Technician,Pittsburgh,The University of Pittsburgh,30810.0
Research Scientist,Pittsburgh,The University of Pittsburgh,61542.0
Laboratory Research Specialist,Pittsburgh,The University of Pittsburgh,30810.0
Research IT Systems Analyst- Technical Pro,Pittsburgh,UPMC,90500.0
Machine Learning Software Architect,Pittsburgh,Cadence Design Systems,153000.0
Postdoctoral Research Scientist,Pittsburgh,Argo AI,102000.0
SUPERVISORY CIVIL ENGINEER,Pittsburgh,US Department of the Army,102882.0
"InterRep,Data Mgt Quant Analysis",Pittsburgh,BNY Mellon,37500.0
Data Scientist,Pittsburgh,International Services Management,103000.0
Data Scientist,Pittsburgh,Govini,124000.0
"Data Scientist, Actuarial",Pittsburgh,Innovu,117500.0
Claims Research Analyst,Coraopolis,Paragon Asset Recovery Services,31350.0
Data Scientist,Pittsburgh,numo,124000.0
Data Scientist,Pittsburgh,Gridwise,108000.0
Postdoctoral Position in Machine Learning and Genomics,Pittsburgh,University of Pittsburgh School of Medicine,57500.0
Senior Software Developer,Pittsburgh,Invent Analytics,87000.0
Software Engineer - In Test,Pittsburgh,Petuum,109500.0
Senior Software Engineer - Autonomy,Warrendale,Neya Systems,111000.0
Senior Software Engineer - Autonomy,Warrendale,Neya Systems LLC,111500.0
