title,location,company,salary
Data Scientist,Atlanta,Equifax,94500.0
Data Scientist/Machine Learning Trainee,Atlanta,Norfolk Southern Corp,129500.0
Data Scientist,Atlanta,Time Warner,111000.0
Sponsor Funded Professional | Data Scientist,Atlanta,Georgia State University,70692.5
Data Scientist and Computer Engineer,Norcross,Finastra,130000.0
Industrial Data Scientist,Alpharetta,Solvay,99000.0
Data Science Consultant (Resources),Atlanta,Accenture,127500.0
"Data Scientist (PYTHON, HADOOP)",Johns Creek,SoftVision - TAMS,130000.0
Business Intelligence Analyst & R Shiny Developer,Atlanta,McKinsey & Company,99500.0
MGR DATA SCIENCE AND ANALYTICS,Atlanta,The Home Depot,123500.0
Healthcare Data Science Consultant,Atlanta,Accenture,141000.0
"The Carter Center: Prospect Research Analyst, Development, M...",Atlanta,Emory University,54000.0
Data Science Manager,Atlanta,Mailchimp,121000.0
Data Scientist - Consultant level in Atlanta!,Atlanta,Capgemini,135000.0
Data Science Manager - Supply Chain,Atlanta,Accenture,106500.0
"Specialist Director, Machine Learning, Data Scientist",Atlanta,KPMG,127500.0
Data Science Artificial Intelligence Senior Consultant Atlan...,Atlanta,Capgemini,145000.0
Front-End Developer - People Analytics & Measurement,Atlanta,McKinsey & Company,114500.0
IoT Software Developer,Atlanta,Stanley Black & Decker,121500.0
Big Data Software Developer - CIPHER,Atlanta,Georgia Tech Research Institute,110000.0
Financial Analyst II (Cobb County Research Facility),Smyrna,Georgia Tech,55500.0
Sr. Full Stack Software Engineer,Atlanta,General Dynamics Information Technology,116500.0
Staff Software Engineer - Cloud,Atlanta,General Electric,149500.0
FHIR Software Developer - ICL,Atlanta,Georgia Tech Research Institute,102500.0
Data Scientist for AI Platform,Atlanta,"DecisionIQ, Inc.",110000.0
030: Data Engineer - Consulting,Atlanta,Dataspace,175000.0
Statistical Quantitative Analyst (SAS Experience Required),Roswell,Microf,67500.0
"Front End Engineer, Connect",Atlanta,Loyal,98000.0
Data Scientist Summer Internship 2019,Chicago,BMW Technology Corporation,38500.0
Data Scientist,Chicago,Grainger,73000.0
"Data Scientist, Product Development",Chicago,Merkle Inc.,122000.0
